image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 0.864504
Delta Norm = 0.791630
Delta Norm = 4.000309
Delta Norm = 2.965175
Delta Norm = 3.378786
Delta Norm = 2.249293
Delta Norm = 4.017852
Delta Norm = 4.291109
Delta Norm = 3.887263
Delta Norm = 2.036101
Delta Norm = 2.961756
Delta Norm = 3.014189
Delta Norm = 2.015900
Delta Norm = 3.530932
Delta Norm = 3.103199
Delta Norm = 3.700058
Delta Norm = 2.082916
Delta Norm = 1.861713
Delta Norm = 3.186777
Delta Norm = 4.045402
Delta Norm = 3.835443
Delta Norm = 2.912678
Delta Norm = 2.175064
Delta Norm = 3.807629
Delta Norm = 0.114385
Delta Norm = 1.350838
Delta Norm = 3.708012
Delta Norm = 3.461038
Delta Norm = 3.670502
Delta Norm = 4.381573
Delta Norm = 1.520686
Delta Norm = 1.657103
Delta Norm = 3.441811
Delta Norm = 3.060192
Delta Norm = 3.731660
Delta Norm = 2.305281
Delta Norm = 3.686677
Delta Norm = 2.774660
Delta Norm = 2.339128
Delta Norm = 2.927527
Delta Norm = 1.390224
Delta Norm = 1.436816
Delta Norm = 2.016151
Delta Norm = 3.159064
Delta Norm = 3.343539
Delta Norm = 3.617335
Delta Norm = 3.433639
Delta Norm = 3.235326
Delta Norm = 3.268916
Delta Norm = 1.377994
Delta Norm = 3.517736
Delta Norm = 2.626193
Delta Norm = 3.882596
Delta Norm = 3.649107
Delta Norm = 4.280923
Delta Norm = 0.023394
Delta Norm = 0.935864
Delta Norm = 2.330461
Delta Norm = 3.492061
Delta Norm = 2.182747
Delta Norm = 4.027870
Delta Norm = 2.502596
Delta Norm = 2.704773
Delta Norm = 4.337087
Delta Norm = 1.986292
Delta Norm = 4.977346
Delta Norm = 4.421787
Delta Norm = 3.456212
Delta Norm = 2.931852
Delta Norm = 3.587901
Delta Norm = 3.460874
Delta Norm = 4.514633
Delta Norm = 3.862283
